CONTAINER

92f58a51$for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                      44.63
2                      69.15
4                     159.45
8                     312.69
16                    687.87
32                   1349.89
64                   2658.78
128                  5084.44
256                  8112.66
512                 14967.51
1024                27698.95
2048                38303.31
4096                29666.68
8192                25846.98
16384               24110.17
32768               24287.81
65536               23369.40
131072              16067.83
262144              11256.72
524288              11286.11
1048576             11310.97
2097152             11434.54
4194304             11441.22
# OSU MPI_Put Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      31.25
2                      61.88
4                     112.70
8                     261.10
16                    515.31
32                   1008.61
64                   1913.63
128                  3599.31
256                  6199.27
512                  9665.53
1024                16777.56
2048                24161.49
4096                18168.60
8192                15981.09
16384               15191.22
32768               14259.56
65536               13448.71
131072              12565.83
262144              10274.71
524288               8456.06
1048576              8495.20
2097152              8577.68
4194304              8653.55
# OSU MPI_Put Latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.06
2                       0.07
4                       0.07
8                       0.06
16                      0.06
32                      0.06
64                      0.07
128                     0.07
256                     0.07
512                     0.09
1024                    0.09
2048                    0.10
4096                    0.12
8192                    0.16
16384                   0.38
32768                   0.82
65536                   1.57
131072                  3.11
262144                 13.06
524288                 41.69
1048576                82.35
2097152               152.14
4194304               285.40
# OSU MPI Bi-Directional Bandwidth Test v5.9
# Size      Bandwidth (MB/s)
1                       7.66
2                      15.04
4                      29.94
8                      60.17
16                    110.21
32                    235.33
64                    385.67
128                   559.99
256                   957.53
512                  1939.40
1024                 3636.87
2048                 6416.02
4096                 4699.57
8192                 8107.50
16384               13120.28
32768               20290.24
65536               27509.40
131072              27147.77
262144              21069.85
524288              20141.00
1048576             20429.99
2097152             21281.65
4194304             21134.58
# OSU MPI Bandwidth Test v5.9
# Size      Bandwidth (MB/s)
1                       6.30
2                      12.84
4                      25.24
8                      51.69
16                    100.93
32                    201.56
64                    337.32
128                   483.17
256                   822.49
512                  1997.60
1024                 4030.79
2048                 6911.14
4096                 3309.91
8192                 5822.72
16384                8612.83
32768               12631.88
65536               16261.53
131072              15877.11
262144              11657.78
524288              11171.33
1048576             11400.95
2097152             11624.47
4194304             11708.48
# OSU MPI Latency Test v5.9
# Size          Latency (us)
0                       0.50
1                       0.54
2                       0.55
4                       0.55
8                       0.55
16                      0.58
32                      0.58
64                      0.59
128                     0.59
256                     0.60
512                     0.73
1024                    0.72
2048                    0.79
4096                    1.83
8192                    2.03
16384                   2.52
32768                   3.28
65536                   4.79
131072                 10.03
262144                 23.66
524288                 48.56
1048576                95.52
2097152               187.80
4194304               364.34
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2
# OSU MPI Multi-process Latency Test v5.9
