BARE METAL

hpc43203 r35c2t6n1 220$ for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
16384                   9.34              4.71              4.24              0.00
32768                  10.90              5.56              5.15              0.00
65536                  14.78              7.86              7.05              1.77
131072                 23.27             11.96             10.94              0.00
262144                 43.64             22.46             21.10              0.00
524288                 90.32             45.06             42.99              0.00
1048576               170.11             82.62             78.72              0.00

# OSU MPI Non-blocking Gatherv Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.74              0.96              0.34              0.00
2                       1.49              0.95              0.38              0.00
4                       1.48              0.95              0.39              0.00
8                       1.49              0.96              0.39              0.00
16                      1.48              0.95              0.38              0.00
32                      1.49              0.96              0.39              0.00
64                      1.48              0.95              0.39              0.00
128                     1.56              0.98              0.45              0.00
256                     1.57              0.97              0.44              0.00
512                     1.55              0.95              0.45              0.00
1024                    1.57              0.96              0.50              0.00
2048                    1.68              0.97              0.60              0.00
4096                    2.04              1.25              0.77              0.00
8192                    2.52              1.44              0.97              0.00
16384                   8.99              4.64              4.25              0.00
32768                  10.91              5.59              5.15              0.00
65536                  14.72              7.90              7.03              2.83
131072                 23.15             11.99             11.10              0.00
262144                 42.87             22.09             20.62              0.00
524288                 89.39             44.11             42.06              0.00
1048576               173.26             86.37             82.78              0.00

# OSU MPI Non-blocking Reduce Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                       1.86              0.98              0.47              0.00
8                       1.57              0.96              0.49              0.00
16                      1.56              0.96              0.51              0.00
32                      1.61              0.99              0.51              0.00
64                      1.60              0.97              0.51              0.00
128                     1.63              0.96              0.59              0.00
256                     1.64              0.97              0.61              0.00
512                     1.68              0.97              0.61              0.00
1024                    2.15              1.36              0.68              0.00
2048                    2.37              1.44              0.88              0.00
4096                    2.64              1.45              1.21              1.75
8192                    3.46              1.91              1.63              4.45
16384                  14.27              6.53              5.94              0.00
32768                  18.33              8.32              7.47              0.00
65536                  20.44             10.68              9.88              1.28
131072                 40.77             21.19             19.81              1.20
262144                 85.16             43.66             41.64              0.33
